category,simple_explanation,source
Inference,Driving: You aren't building the car anymore; you're just driving it to your destination.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Hallucination,GPS Glitch: The map confidently tells you to turn left into a lake.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Temperature,"Suspension: Low temp is a stiff, predictable ride. High temp is a loose, bouncy, creative ride.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Latency,Turbo Lag: The delay between stepping on the gas and feeling the car accelerate.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Checkpoint,"Pit Stop: Saving your progress so if the car breaks down, you don't have to start the race from the beginning.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Neural Network,"Traffic Network: Cars (data) flow through roads. If one road is blocked, traffic finds a new route.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Neuron,"The Student: Listens to a whisper, decides if it's important, and passes it on.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Layer,"Grade Level: 1st grade learns letters, 5th grade learns sentences, 12th grade learns essays.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Activation Function,"The Bouncer: Checks your ID. If the signal isn't strong enough, you don't get in.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Backpropagation,"The Blame Game: The project failed, so the boss goes back down the chain to fix the mistake.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Overfitting,Memorizing the Textbook: You know the exact words but fail the test because the questions changed slightly.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Underfitting,Skimming: You only read the chapter titles and can't answer any detailed questions.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Bias,"Tinted Glasses: If you wear red glasses, the whole world looks red, even if it isn't.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Zero-Shot Learning,Improvising: Playing a song you've never heard before just by knowing music theory.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Few-Shot Learning,Test Drive: Driving a car around the block twice to get the feel of it.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Chain of Thought,"Show Your Work: Writing down the math steps, not just the final answer.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
RAG,Open Book Exam: You can look up facts in the textbook to make sure you're right.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
GAN,"Forger vs Detective: One makes fake paintings, the other spots them. Both get better by competing.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Transformer,Traffic Control: Watching every car at once to prevent accidents.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Encoder,The Scanner: Turns a paper document into digital code.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Decoder,The Printer: Turns digital code back into a readable picture.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Accuracy,Target Practice: How many arrows actually hit the bullseye?,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Algorithm,Cooking Recipe: Follow these exact steps to get the result.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Annotation,Sticky Notes: Putting tags on items so you know what they are.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Anomaly Detection,Security Guard: Spotting the one person running in a crowd of walkers.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
API,The Waiter: Takes your order to the kitchen and brings the food back.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Artificial General Intelligence (AGI),The Universal Genius: A machine that can learn to do anything a human can do.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Automation,Autopilot: The plane flies itself while the pilot drinks coffee.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Bag of Words,Word Soup: Throwing all words into a bowl without caring about grammar.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Batch,Laundry Load: Washing a pile of clothes together instead of one sock at a time.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Bayesian Network,"Weather Forecast: Predicting rain based on clouds, humidity, and wind.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Big Data,The Ocean: You can't drink it; you need a ship to navigate it.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Binary Classification,"Coin Toss: It's either Heads or Tails, nothing else.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Black Box,"Magician's Hat: You see the rabbit go in and come out, but don't know how.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Chatbot,Digital Receptionist: Answers common questions at the front desk.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Classification,Sorting Mail: Putting letters into the right zip code bins.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Cloud Computing,Renting Tools: Using a giant crane from a rental company instead of buying one.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Clustering,"Sorting Laundry: Whites in one pile, colors in another.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Computer Vision,Digital Eyes: Teaching a camera to recognize a face.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Confusion Matrix,"Scoreboard: Shows hits, misses, and false alarms.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Corpus,The Library: The entire collection of books the AI reads.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Correlation,"Smoke and Fire: Where there's smoke, there's usually fire.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Cross-Validation,Rotation: Testing a player in different positions to see if they are actually good.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Data Augmentation,Photocopying: Flipping and rotating a photo to create 'new' data.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Data Mining,Gold Panning: Sifting dirt to find nuggets of value.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Data Science,Detective Work: finding clues in the evidence.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Decision Tree,20 Questions Game: Is it an animal? Yes. Does it bark? No.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Deepfakes,Digital Mask: Putting a realistic mask on an actor.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Dimensionality Reduction,Shadow Puppets: A 3D hand makes a simple 2D shadow.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Discriminator,Art Critic: Deciding if the painting is real or fake.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Edge Computing,Reflexes: Pulling your hand from fire before your brain even thinks about it.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Embedding,Barcode: A number that represents a complex product.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Ensemble Learning,"Teamwork: A doctor, nurse, and surgeon working together is better than one alone.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Epoch,Gym Reps: Doing a full set of exercises to build muscle.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Feature Extraction,Juicing: Getting the liquid out and leaving the peel behind.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Feature,"Identity: Height, weight, and eye color are your features.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Feedforward Network,"One-Way Street: Traffic only moves forward, never back.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
F1 Score,Report Card: The average grade of your Math and English scores.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
"Garbage In, Garbage Out","Rotten Cooking: If you use rotten eggs, the cake will be bad.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Generalization,Street Smarts: Using what you learned in school in the real world.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Generative AI,"The Artist: Painting a new picture, not just taking a photo.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Genetic Algorithm,Survival of the Fittest: Only the best solutions 'survive' to the next round.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
GPU,Construction Crew: A thousand workers building a wall together (fast).,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Gradient,Hill Slope: The steepness of the hill you are climbing down.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Ground Truth,Answer Key: The correct answers to the test.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Heuristic,Shortcut: Taking the back roads to avoid traffic.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Hidden Layer,"The Kitchen: Customers eat the food, but the cooking happens here, unseen.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Image Recognition,FaceID: Your phone recognizing it's you.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Input Layer,Front Door: Where guests enter the building.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
IoT,Nervous System: Connecting all appliances to a central brain.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Iteration,Baby Step: Taking one small step towards the destination.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
K-Means,Seating Chart: Arranging wedding guests so similar people sit together.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
KNN,Peer Pressure: You act like the 5 people closest to you.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Knowledge Graph,Mind Map: Drawing lines between related ideas.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Label,Price Tag: Tells you what the item is worth.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Large Language Model,Encyclopedia: Knows a little bit about everything.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Learning Rate,Steering Sensitivity: Turn the wheel too much and you crash; too little and you don't turn.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Linear Regression,Trend Line: Drawing a line through dots on a graph.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Logistic Regression,Pass/Fail: Predicting if you will pass the exam based on study hours.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Loss,"Golf Score: The lower the score, the better you did.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Machine Learning,Apprentice: Watching the master and learning to do it yourself.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Machine Translation,Babel Fish: Instantly understanding a foreign language.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Metadata,"Library Card: Tells you where the book is, not the story itself.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Model,The Brain: The final product that can think/predict.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Multimodal,"Swiss Army Knife: Can cut, saw, and screw via one tool.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Naive Bayes,Stereotyping: Assuming it's a duck because it quacks.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Natural Language Generation,Ghostwriter: Writing a speech for you.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
NLP,Universal Translator: Understanding human speech.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Node,Intersection: Where two roads meet.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Noise,Static: The fuzz on the radio that makes music hard to hear.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Normalization,Currency Converter: Turning Dollars and Yen into Gold so they can be compared.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Object Detection,Where's Waldo: Finding the specific person in a crowd.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
One-Hot Encoding,Switchboard: Turning on one specific light for each category.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Optimization,Tuning: Adjusting a guitar string until it hits the perfect note.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Outlier,Black Sheep: The one item that doesn't fit the group.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Output Layer,Checkout Counter: Where you get your receipt.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Parameter,Knob: A control dial on a machine.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Pattern Recognition,Cloud Gazing: Seeing shapes in the clouds.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Perceptron,Light Switch: It's either on or off.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Pooling,"Squinting: Blurring your eyes to see the big picture, not details.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Precision,"Needle in Haystack: Finding only the needle, not the hay.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Predictive Analytics,Weather Report: Guessing rain based on clouds.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Preprocessing,Washing Veggies: Cleaning dirt before cooking.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Pre-trained Model,"College Graduate: Knows basics, needs job training.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Random Forest,"The Jury: Ideally, 12 people decide better than 1.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Recall,"Fishing Net: Catching ALL the fish, even if you catch some boots.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Recommendation System,Personal Shopper: Suggesting clothes you might like.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Recurrent Neural Network,Diary: Remembering what happened yesterday to understand today.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Regression,Crystal Ball: Predicting the exact stock price.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Regularization,Speed Bump: Slowing down the car so it doesn't crash.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Relu,Gatekeeper: Only lets positive energy through.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Robotics,"The Body: The hardware that moves, controlled by the AI brain.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Robustness,Off-Road Tires: Works well even on bumpy roads.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Root Mean Square Error,Scorecard: How far off were your guesses?,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Scalability,Elastic Band: Stretches to fit big or small items.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Segmentation,Color by Number: Coloring each section a specific color.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Self-Attention,Highlighting: Marking important words in a textbook.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Self-Supervised Learning,Fill in the Blank: Learning by guessing the missing word.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Semantic Analysis,"Reading Between the Lines: Understanding the mood, not just words.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Sentiment Analysis,Mood Ring: Detecting if the text is happy or sad.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Sequence to Sequence,"Translation: English sentence in, French sentence out.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Sigmoid,Dimmer Switch: Smoothly transitioning from off to on.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Softmax,Pie Chart: Showing percentages that add up to 100%.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Speech Recognition,Stenographer: Typing what is spoken.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Structured Data,Excel Sheet: Rows and columns.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Supercomputer,Hive Mind: Many brains working as one.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Support Vector Machine,The Fence: Drawing a line to separate sheep from goats.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Synthetic Data,Simulation: Video game world used for training.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Testing,Final Exam: Checking if the student learned.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Text-to-Speech,Audiobook: Turning text into voice.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Time Series,Stock Chart: Prices changing over time.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Tokenization,Chopping: Cutting veggies into bite-sized pieces.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
TPU,"Specialist: A worker who only does one job, but extremely fast.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Training,Practice: Rehearsing before the big show.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Transfer Learning,Renaissance Man: Using math skills to learn coding.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Turing Test,Blind Test: Can you tell if it's Coke or Pepsi?,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Unstructured Data,Junk Drawer: Random items mixed together.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Validation,Pop Quiz: Checking progress before the final.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Variance,Jitter: Shaking hands when trying to aim.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Vector,Arrow: Pointing in a specific direction with force.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Virtual Assistant,Butler: Serves your requests.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Virtual Reality,Dreaming: Being in a world that isn't there.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Visual Question Answering,Tour Guide: Looking at a statue and explaining it.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Weak AI,"Calculator: Good at math, bad at poetry.",https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Weight,Muscle: Stronger weights mean stronger pull.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Word Embedding,Map Coordinates: Every word has a location on the map.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
XAI,Glass Box: Seeing how the gears turn inside.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Zero-Shot,Intuition: Guessing right without studying.,https://www.willowtreeapps.com/craft/glossary-of-ai-terms; https://arxiv.org/abs/2502.03038
Adaptive learning,Used in generative AI to define a model that adjusts learning processes based on feedback it receives. Adaptive learning models enhance their ability to generate accurate outputs.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Adversarial example,Inputs deliberately designed to confuse or tick a generative AI model into producing incorrect outputs. They are often indiscernible to the human eye.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Adversarial network,Often referred to as Generative Adversarial Networks (GANs). That means two neural networks (a generator and a discriminator) are trained simultaneously and competitively to improve the quality of generated outputs.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Algorithmic bias,"Systematic errors in an algorithm that generates unfair outcomes, often privileging one group of users over another.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Algorithmic creativity,"Describes the capability of generative AI systems to create art, music, literature, or other creative works without direct human input.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Application programming interface (API),"Defined rules that enable applications to communicate with each other. It acts as an intermediary layer that processes data transfers between systems, letting companies open their application data and functionality to third parties.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Artificial intelligence (AI),The simulation of human intelligence in machines that are programmed to think like humans. Check out: An ultimate guide to artificial intelligence.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Attention mechanism,"A technique used in generative models, especially language generation, which helps focus on parts of input date, improving the relevance and coherence of generated content.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Autoencoder,"A neural network used in generative AI that is trained to encode input data as representations, then decode representations back to the original data.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Auto-classification,"Using ML, NLP, and alternative AI-guided techniques to classify text in an increasingly fast, cost-effective, and accurate manner.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Autonomous generation,"The ability of a generative AI system to create content or make decisions independently, without specific guidance or rules set by humans. B",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Batch normalisation,"A supervised learning method of training neural networks. It works by standardising inputs to a network, which stabilises learning, saves time, and improves accuracy. Batch normalisation can be quite complex, so for more details check out: Batch normalisation guide.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
